ACCE_ABSORB_COST	 я«бнЁ «бѕгћ: %d
AURA_POSSIBLE_REGISTER_AURAITEM	[е«б…] нћ» ≈ѕ—«ћ гб«»” «бе«б… √жб«.
AURA_TITLE_ABSORB	дёб ёнг «бм гб«»” «бе«б…
AURA_TITLE_EVOLUTION	 Ўжн— гб«»” «бе«б…
AURA_TITLE_GROWTH	 Ќ”нд гб«»” «бе«б…
AURA_TOOLTIP_EXP	ќ»—… (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	«бг” жм %d («б— »… %d) (ёнг… «б«” нЏ«» %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s н«дџ
AURA_TOOLTIP_NEXT	ћѕнѕ
AURA_TOOLTIP_NOW	Ќ«бн
AURA_TOOLTIP_RESOURCE	√‘н«Ѕ «” еб«ян…
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	≈Џ«ѕ…
AUTO_TOOLTIP_LINE1	ге«—« : «ќ — ≈Ќѕм «бге«—«  ж÷Џе« Ён «бЁ Ќ«  «бгхќ’’… б–бя. (Ќ”«» гг «“)
AUTO_TOOLTIP_LINE2	 д»не: нгядя  Џѕнб «бгѕ… «б“гдн… (»«бЋж«дн) бяб ге«—… гд «бге«—« .
AUTO_TOOLTIP_LINE3	ћ—Џ« : «ќ — ≈Ќѕм «бћ—Џ«  ж÷Џе« Ён «бЁ Ќ«  «бгхќ’’… б–бя. (Ќ”«» гг «“)
AUTO_TOOLTIP_LINE4	 д»не: ”н г  ЁЏнб ћ—Џ«  «бЌн«… ж«б√”бж» »гхћ—ѕ е»жЎ ёнг е«  Ќ  «бёнг… «бг∆жн… «бгхѕ—ћ….
AUTO_TOOLTIP_LINE5	гб«Ќў…: нгяд  ЁЏнб «б«” ќѕ«г «б бё«∆н ббге«—«  ж«бћ—Џ«  ж«б≈Ќн«Ѕ Ён г ћ— «ббЏ»….
AUTO_TOOLTIP_TITLE	г”«Џѕ… «б’нѕ «б бё«∆н
BATTLE_POINT	дё«Ў «бгЏ—я…
BATTLE_ROYALE_ALIVE_COUNT	«бд«ћжд: %d
BATTLE_ROYALE_APPLICATION_TITLE	»« б —жн«б
BATTLE_ROYALE_CANNOT_OPEN_MALL	б« нгядя Ё Ќ е–« ед«.
BATTLE_ROYALE_KILL_COUNT	е“г «бќ’г: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	г‘«—я…
BATTLE_ROYALE_MAINBUTTON_CANCEL	≈бџ«Ѕ
BATTLE_ROYALE_MAINBUTTON_EXIT	ќ—жћ
BATTLE_ROYALE_MAINBUTTON_STARTABLE	«»ѕ√
BATTLE_ROYALE_NOTIFY_APPLICATED	бёѕ ёг  »«б ”ћнб Ён »« б —жн«б. »гћ—ѕ жћжѕ Џѕѕ я«Ёт гд «бг‘«—янд° нгядя «б«д÷г«г.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	 г ≈џб«ё «б ”ћнб Ён »« б —жн«б.
BATTLE_ROYALE_NOTIFY_STARTABLE	нгядя «б¬д «бѕќжб ≈бм »« б —жн«б. «дё— Ёжё “— «б«Ќ Ё«бн… ббг‘«—я….
BATTLE_ROYALE_NOTIFY_WINNER	бёѕ —»Ќ .
BATTLE_ROYALE_PERSONAL_RANK	«б— »… «б‘ќ’н…: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	еб  —нѕ «” ќѕ«г «бёѕ—… Џбм «б Ќгшб «б н б« де«н… бе«њ
BATTLE_ROYALE_WHO_KILLED	«бб«Џ» «б–н ё бя: %s
BATTLE_ROYALE_WINNER_1	бёѕ —»Ќ  »« б —жн«б!
BATTLE_ROYALE_WINNER_2	Ён џ÷жд бЌў«  ёбнб… ”н г дёбя «бЁж—н ≈бм «бё—н….
BEAD	«бдћг «б—жЌн
BEAD_TIME_REMAINING_TO_GET	”н г ‘Ќд «бдћг «б—жЌн Ён ќб«б: %d ѕёнё…/ѕё«∆ё.
BELT_RENEWAL_BANN_SIGN	б« нгядя «б«” г—«—.
BELT_RENEWAL_INVENTORY_FULL	бн” бѕня г”«Ќ… я«Ён… Ён ё«∆г… «бћ—ѕ.
BNW_COIN	Џгб… «бЏ—«Ё
BUY_LIMIT_LEVEL	Ќѕ «б‘—«Ѕ: %s
CANNOT_ATTACK_DEST_IN_SAFE	≈д «бќ’г »Џнѕ ћѕ«р.
CANNOT_ATTACK_SELF_IN_SAFE	б« «” ЎнЏ ге«ћг… «бќ’г гд ед«.
CANNOT_DOING_PRIVATE_SHOP_OPEN	б« нгядя «бён«г »√н √г— ¬ќ— Ў«бг«  ёжг »Ё Ќ г ћ— ќ«’.
CANNOT_EQUIP_IN_EXCHANGE	б« нгядя «” »ѕ«б «бѕ—Џ √Ћд«Ѕ «бг «ћ—….
CANNOT_EQUIP_IN_SHOP	б« нгядя «” »ѕ«б «бѕ—Џ √Ћд«Ѕ «бг «ћ—….
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	б« нгядя Ё Ќ г ћ— ќ«’ »я Ён гя«д Џ«г.
CANNOT_SHOOT_DEST_IN_SAFE	≈д «бќ’г »Џнѕ ћѕ«р.
CANNOT_SHOOT_EMPTY_ARROW	≈ддн »Ќ«ћ… ≈бм ”ег.
CANNOT_SHOOT_SELF_IN_SAFE	б« нгяддн ге«ћг… «бќ’г гд ед«.
CANNOT_SKILL_APPROACH	√д« г √яѕ »√ддн бд «ё —» где.
CANNOT_SKILL_ATTACK	б« нгяддн ге«ћг я.
CANNOT_SKILL_BLUE	б« нгядя «” Џг«б —жЌ «б–∆» «бдшнбн ≈–« я«д  —жЌ «б–∆» «бя—“н гхЁЏшб….
CANNOT_SKILL_DEST_IN_SAFE	≈д «бќ’г »Џнѕ ћѕ«р.
CANNOT_SKILL_EQUIP_FISHING_ROD	ѕжд ≈” ќѕ«г ’д«—… ’нѕ гће“… б« нгядя ’нѕ «б”гя.
CANNOT_SKILL_HAVE_TO_RIDE	≈ддн »Ќ«ћ… ≈бм Ќ’«д б«” Џг«бе.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	≈ддн б« √гбя ё«—ж—… Ё«—џ….
CANNOT_SKILL_NEED_POISON_BOTTLE	≈ддн б« √гбя ё«—ж—… ”г.
CANNOT_SKILL_NEED_TARGET	гдц «беѕЁњ
CANNOT_SKILL_NOT_ENOUGH_HP	≈ддн б« √гбя г« няЁн гд дё«Ў «бЌн«…!
CANNOT_SKILL_NOT_ENOUGH_SP	≈ддн б« √гбя дё«Ў √”бж» я«Ён…!
CANNOT_SKILL_NOT_HORSE_SKILL	б« √” ЎнЏ «” Џг«бе √Ћд«Ѕ —яж»н «бЌ’«д.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	б« «” ЎнЏ «” Џг«б е–е «бге«—… »е–« «б”б«Ќ.
CANNOT_SKILL_NOT_YET_LEARN	≈ддн бг √ Џбг е–е «бге«—… »Џѕ.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	е–« нƒЋ— ЁёЎ Џбм √Џ÷«Ѕ «бЁ—нё.
CANNOT_SKILL_ONLY_FOR_CORPSE	≈д е–« нƒЋ— ЁёЎ Џбм «бгж м.
CANNOT_SKILL_RED	б« нгядя «” Џг«б —жЌ «б–∆» «бя—“н ≈–« я«д  —жЌ «б–∆» «бдшнбн гхЁЏшб….
CANNOT_SKILL_REMOVE_FISHING_ROD	б« нгяддн «” Џг«б е–е «бге«—… гЏ ’д«—… ’нѕ.
CANNOT_SKILL_SELF_IN_SAFE	б« «” ЎнЏ «бге«ћг… гд ед«.
CANNOT_SKILL_USE_SELF	б« нгяддн «” Џг«бе Џбм дЁ”н.
CANNOT_SKILL_WAIT_COOLTIME	б« нгяддн «” Џг«б е–е «бге«—… »Џѕ.
CANNOT_USE	б« нгядя «” Џг«бе.
CANNOT_WHISPER_DEST_REFUSE	√џбё %s «бег” »«бя«гб.	SA
CANNOT_WHISPER_NOT_LOGON	≈д %s џн— гх ’б	SA
CANNOT_WHISPER_SELF_REFUSE	б« нгядя «бег” б√Ќѕ ≈–« √џбё  «бег” »«бя«гб.	SNA
CATEGORY_ARMOR_ARMOR_BODY	ѕ—жЏ
CATEGORY_ARMOR_ARMOR_GLOVE	ёЁ«“« 
CATEGORY_ARMOR_ARMOR_HEAD	ќж–
CATEGORY_ARMOR_ARMOR_SHIELD	ѕ—жЏ
CATEGORY_COSTUMES	√“н«Ѕ
CATEGORY_COSTUMES_COSTUME_BODY	√“н«Ѕ
CATEGORY_COSTUMES_COSTUME_HAIR	 ”—нЌ« 
CATEGORY_COSTUMES_COSTUME_WEAPON	Ў—«“ «б√”бЌ…
CATEGORY_COSTUMES_ETC	џн—е
CATEGORY_COSTUMES_SASH	√ж‘Ќ…
CATEGORY_DRAGON_STONE	янгн«Ѕ Ќћ— «б днд
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	г«”
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Џёнё
CATEGORY_DRAGON_STONE_DRAGON_JADE	н‘г
CATEGORY_DRAGON_STONE_DRAGON_ONYX	ћ“Џ
CATEGORY_DRAGON_STONE_DRAGON_RUBY	н«ёж 
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	н«ёж  √“—ё
CATEGORY_DRAGON_STONE_ETC	џн—е
CATEGORY_EQUIPMENT_ARMOR	ѕ—жЏ жЏ «ѕ
CATEGORY_EQUIPMENT_JEWELRY	Ќбн
CATEGORY_EQUIPMENT_WEAPON	√”бЌ…
CATEGORY_ETC	џн—е
CATEGORY_ETC_ETC	џн—е
CATEGORY_ETC_EVENT	»джѕ «б«Ќ Ё«бн…
CATEGORY_ETC_GIFTBOX	’д«ѕнё | Џб»
CATEGORY_ETC_MATRIMORY	Џх—”
CATEGORY_ETC_PARTI	я » Ёджд «бЌ—»
CATEGORY_ETC_POLYMORPH	я—… «б Ќжб
CATEGORY_ETC_RECIPE	ќбЎ «бћ—Џ« 
CATEGORY_ETC_SEAL	«б—»Ў »«б—жЌ
CATEGORY_FISHING_PICK	’нѕ «б”гя | «” џб«б «бгд«ћг
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	гд«ян‘
CATEGORY_FISHING_PICK_ETC	џн—е
CATEGORY_FISHING_PICK_FISHING_POLE	’д«—… «б’нѕ
CATEGORY_FISHING_PICK_FOOD	”гя
CATEGORY_FISHING_PICK_PICK_BOOK	я » «б Џѕнд
CATEGORY_FISHING_PICK_STONE	гЏ«ѕд
CATEGORY_JEWELRY_ARMOR_EAR	Ќбё
CATEGORY_JEWELRY_ARMOR_FOOTS	√Ќ–н…
CATEGORY_JEWELRY_ARMOR_NECK	ёб«∆ѕ
CATEGORY_JEWELRY_ARMOR_PENDANT	 Џжн–…
CATEGORY_JEWELRY_ARMOR_WRIST	√”«ж—
CATEGORY_JEWELRY_ITEM_BELT	√Ќ“г…
CATEGORY_MOUNT_PET	ѕж«» | —Ё«ё
CATEGORY_MOUNT_PET_CHARGED_PET	—Ё«ё
CATEGORY_MOUNT_PET_EGG	»н÷ «б—шЁ«ё
CATEGORY_MOUNT_PET_FREE_PET	—Ё«ё нгяд  Ўжн—е«
CATEGORY_MOUNT_PET_MOUNT	ѕж«»
CATEGORY_POTION	ћ—Џ« 
CATEGORY_POTION_ABILITY	гж«ѕ «” еб«ян…
CATEGORY_POTION_ETC	џн—е
CATEGORY_POTION_HAIRDYE	’»«џ… ‘Џ—
CATEGORY_SKILL	ге«—« 
CATEGORY_SKILL_BOOK_OF_OBLIVION	ях » «бд”н«д
CATEGORY_SKILL_ETC	џн—е
CATEGORY_SKILL_HORSE_SKILL_BOOK	я «» ге«—«  «бЌ’«д
CATEGORY_SKILL_PAHAE	’ѕ | ѕЁЏ
CATEGORY_SKILL_SKILL_BOOK	ях » «бге«—« 
CATEGORY_TUNING	 Ќ”нд« 
CATEGORY_TUNING_ETC	џн—е
CATEGORY_TUNING_RESOURCE	гж«ѕ
CATEGORY_TUNING_STONE	Ќћ— ‘»Ќн
CATEGORY_UNIQUE	»джѕ ќ«’…
CATEGORY_UNIQUE_ABILITY	гж«ѕ «” еб«ян…
CATEGORY_UNIQUE_ETC	џн—е
CATEGORY_WEAPON_WEAPON_ARROW	√”ег
CATEGORY_WEAPON_WEAPON_BELL	√ћ—«”
CATEGORY_WEAPON_WEAPON_BOW	√ёж«”
CATEGORY_WEAPON_WEAPON_CLAW	гќ«б»
CATEGORY_WEAPON_WEAPON_DAGGER	ќд«ћ—
CATEGORY_WEAPON_WEAPON_FAN	г—«жЌ
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	—г«Ќ
CATEGORY_WEAPON_WEAPON_QUIVER	ћЏ»… «б”е«г
CATEGORY_WEAPON_WEAPON_SWORD	√”бЌ… нѕ ж«Ќѕ…
CATEGORY_WEAPON_WEAPON_TWO_HANDED	√”бЌ… нѕнд
CHANGE_ALREADY_REGISTER	[ ‘янб]  г «” Џг«б е–« «б‘∆ гд ё»б.
CHANGE_LOOK_CHANGE_ITEM	еб  —нѕ  ‘янб «б‘∆њ
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[ ‘янб] н—ћм √жб«р ≈“«б… «б‘∆ «б–н  жѕ  ‘янбе.
CHANGE_LOOK_COST	Ћгд «б ‘янб: %s н«дџ
CHANGE_LOOK_DEL_ITEM	”н г  ѕгн— е–« «б‘нЅ
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[ ‘янб] б« нгяд Џгб  ‘янб бе–« «б‘∆.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[ ‘янб] б« нгядя Џгб  ‘янб бе–« «б‘∆ √Ћд«Ѕ  ћен“е.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[ ‘янб] б« нгяд  ”ћнб е–« «б‘∆.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[ ‘янб] е–« «б‘∆ г—»жЎ »«б—жЌ.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[ ‘янб] н—ћм  ”ћнб «б‘∆ «б–н  —нѕ Џгб  ‘янб бе.
CHANGE_LOOK_INSERT_ITEM	[ ‘янб] Џбня  ”ћнб «б‘∆ √жбр«
CHANGE_LOOK_NEED_MONEY	бн” бѕня н«дџ я«Ён √ж бн” бѕня г« няЁн гд «б»джѕ.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[ ‘янб] б« н г ≈ «Ќ… е–е «бЏгбн… Џдѕ Ё Ќ д«Ё–… " ‘янб".
CHANGE_LOOK_TITLE	 ‘янб
CHANGE_LOOK_TITLE2	 Ќжнб-«бѕж«»
CHANGE_PET_PLEASE_APPEND_FIRST	нћ» «” ѕЏ«Ѕ «б—Ёнё √жб«.
CHANGE_TOOLTIP2_LINE1	÷Џ «б»дѕ «беѕЁ Џбм «бн”«— ж«бгж«ѕ «бб«“г… Џбм «бнгнд.
CHANGE_TOOLTIP2_LINE2	√дё— Џб«г… «б≈ќ н«— б≈” ќѕ«г «бн«дџ √ж Џб«г… «б Ќжнб б џнн— ‘яб «бѕ«»….
CHANGE_TOOLTIP2_LINE3	Џб«г… «б Ќжнб  ёжг » џнн— ‘яб «бѕ«»… »ѕжд «” еб«я «бн«дџ. (бёѕ  г  ѕгн— «бЏб«г…)
CHANGE_TOOLTIP2_LINE4	≈–«  г  џнн— ‘яб «бѕ«»… »гѕ… ’б«Ќн…° Ё” ” г— гѕ… «б’б«Ќн… «б√’бн….
CHANGE_TOOLTIP2_LINE5	Ён Ќ«б я«д  «бѕ«»… «беѕЁ ѕ«∆г… ж«бѕ«»… «бг” ќѕг…  Ќгб гѕ… ’б«Ќн…° ” яжд гѕ… ’б«Ќн… «б џнн— г”«жн… бгѕ… ’б«Ќн… «бѕ«»… «бг” ќѕг….
CHANGE_TOOLTIP_LINE1	÷Џ «б‘∆ «б–н нд»џн ≈ћ—«Ѕ «б ‘янб Џбне ≈бм «бн”«—.
CHANGE_TOOLTIP_LINE2	÷Џ «б‘∆ «б¬ќ— ≈бм «бнгнд.
CHANGE_TOOLTIP_LINE3	”н џн— ‘яб «б‘∆ «бгжћжѕ ≈бм «бн”«—° Џдѕг«
CHANGE_TOOLTIP_LINE4	 ёжг » √янѕ «б ‘янб жн г ”Ќ» н«дџ гд —’нѕя.
CHANGE_TOOLTIP_LINE5	Џдѕ «” ќѕ«гя бе–« «б‘нЅ°
CHANGE_TOOLTIP_LINE6	нгядя  ‘янб »джѕя »ѕжд ≈” ќѕ«г «бн«дџ.
CHANGE_TOOLTIP_TITLE	 ‘янб
CHANNEL	ёд«…
CHANNELING_CANNOT_LOGOUT	б« нгядя «бЏжѕ… ≈бм д«Ё–… «б ”ћнб.
CHANNEL_EMPTY_SERVER	б« жћжѕ бќ«ѕг
CHANNEL_NORMAL	ёд«… %d
CHANNEL_NOTIFY_FULL	≈д е–е «бёд«… гг б∆…! «б—ћ«Ѕ «ќ н«— ёд«… √ќ—м.
CHANNEL_NOT_FIND_INFO	б«  жћѕ ед«я гЏбжг«  Џд е–е «бёд«….
CHANNEL_PVP	г»«—“… Ќ—…
CHANNEL_SELECT_CHANNEL	«ќ — «бёд«…
CHANNEL_SELECT_REGION	«ќ — гя«д ж÷Џ «бЁ« ж—…
CHANNEL_SELECT_SERVER	«ќ н«— «бќ«ѕг
CHANNEL_STATUS_BUSY	г‘џжб
CHANNEL_STATUS_FULL	ггбжЅ
CHANNEL_STATUS_OFFLINE	џн— гЏ—жЁ
CHANNEL_STATUS_RECOMMENDED	дж’н »№е
CHANNEL_STATUS_VACANT	ќЁнЁ
CHANNEL_TEST_SERVER	 ћ—н» «бќ«ѕг
CHANNEL_TEST_SERVER_ADDR	«ќ »«— %s:%d
CHARACTER_CREATE_MODE	≈д‘«Ѕ ‘ќ’н…
CHARACTER_NAME	«”г
CHARACTER_SELECT_MODE	«ќ н«— ‘ќ’н…
CHARGE_BEAD_QUESTION	 Ќ «ћ ≈бм: %d дћг —жЌн. еб  —џ» Ён «бг «»Џ…њ
CHATTING_SETTING_ADD	≈÷«Ё… Џб«г…  »жн»
CHATTING_SETTING_ADD_MAX	б« нгядя ≈÷«Ё… «бг“нѕ.
CHATTING_SETTING_CHANGE_TITLE_NAME	еб  —нѕ ЌЁў «б«”г бе–е «бѕ—ѕ‘…њ
CHATTING_SETTING_CHANGE_TITLE_NOT	б« нгяд  џнн— «”г «бѕ—ѕ‘… «бЏ«г….
CHATTING_SETTING_CLEAR_QUESTION	≈Џ«ѕ…  Џннд ≈бм «б«Ё —«÷нњ
CHATTING_SETTING_DEL	≈“«б… «бЌёб
CHATTING_SETTING_LANGUAGE_OFF	≈нё«Ё
CHATTING_SETTING_LANGUAGE_ON	‘џшцб
CHATTING_SETTING_QUESTION_DESC_1	1. ёг » Џннд —”«б… б№ «бќ»—… «бг” бг… Џдѕ ё б «бжЌж‘ √ж «бќ»—… «бгЁёжѕ….
CHATTING_SETTING_QUESTION_DESC_2	2. ёг » Џннд —”«б… ≈”ё«Ў «бџд«∆г ж«бн«дџ «бгя ”».
CHATTING_SETTING_RETURN	«” —ћ«Џ «бЌёб
CHATTING_SETTING_SETTING	ќн«—« 
CHAT_ALL	«бћгнЏ
CHAT_BLOCK	Ќў—
CHAT_DICE_INFO	—гн…
CHAT_GUILD	—«»Ў…
CHAT_INFORMATION	гЏбжг…
CHAT_INSULT_STRING	«бћгб…  Ќ жн Џбм ябг«  гхќб… »«б√ѕ».
CHAT_LOG	≈ўе«— «б—”«∆б «бёѕнг… [L]
CHAT_LOG_TITLE	”цћбшх «бѕ—ѕ‘…
CHAT_NORMAL	Џ«ѕн
CHAT_NOTICE	ќ«ѕг
CHAT_PARTY	гћгжЏ…
CHAT_SEND_CHAT	≈—”«б «бѕ—ѕ‘…
CHAT_SEND_MEMO	≈—”«б ег” [Shift+Enter]
CHAT_SHOUT	дѕ«Ѕ
CHAT_SHOUT_LIMIT	нхгядя «бдѕ«Ѕ яб 15 Ћ«дн… ЁёЎ
CHAT_WHISPER	ег”
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	б« нгядя ≈”ё«Ў «бг«б.
CHEQUE_SYSTEM_PICK_WON	бёѕ Ќ’б  Џбм %d жжд.
CHEQUE_SYSTEM_SELL_PRICE	[Ћгд «б»нЏ]
CHEQUE_SYSTEM_UNIT_WON	жжд
CHEQUE_SYSTEM_UNIT_YANG	н«дџ
CHEQUE_SYSTEM_WON	%s жжд
CHEQUE_SYSTEM_YANG	%s н«дџ
CLEAR_FLOOR	«бг” жм
CLEAR_TIME	«бжё 
ClosePetChangeWndButton	√џбё
COMB_ACCE_IS_CONTINUE_PROCESS	еб  —џ» Ён «бг «»Џ…њ
COMB_ACCE_WARNING_MESSAGE	«бдћ«Ќ √ж «бдћ«Ќ «бћ“∆н нƒѕн «бм  ѕгн— «б√’б. нгяд бЏгбн… «бдёб √д  Ё‘б. Ён Ќ«б «бЁ‘б √ж «бдћ«Ќ «бћ“∆н ” дќЁ÷ ёнг… «б«” нЏ«» Ён «беѕЁ.
COMB_ACCE_WARNING_MESSAGE1	«бдћ«Ќ √ж «бдћ«Ќ «бћ“∆н нƒѕн «бм  ѕгн— «б√’б.
COMB_ACCE_WARNING_MESSAGE2	нгяд бЏгбн… «бдёб √д  Ё‘б.
COMB_ACCE_WARNING_MESSAGE3	Ён Ќ«б «бЁ‘б √ж «бдћ«Ќ «бћ“∆н ” дќЁ÷ ёнг… «б«” нЏ«» Ён «беѕЁ.
COMB_ACCE_WILL_REMOVE_MATERIAL	«бдћ«Ќ √ж «бдћ«Ќ «бћ“∆н нƒѕн «бм  ѕгн— «б√’б.
COMB_ALREADY_APPEND	 г «ќ н«— е–« «б»дѕ гд ё»б.
COMB_CANT_APPEND_ITEM	б« нгядя «” Џг«б е–« «б»дѕ.
COMB_CANT_APPEND_SEALED_ITEM	б« нгядя «” Џг«б »дѕ гх— »Ў »«б—жЌ.
COMB_CANT_BASE_ITEM	б« нгяд бж‘«Ќ нЌ жн Џб«ж«  √д няжд еѕЁ«.
COMB_CANT_MATCH_DRAINRATE	ббён«г »Џгбн… дёб «бЏб«ж«  Џбм ёнг… «б√” нЏ«» √д  яжд г Ў«»ё… Ён «бЎ—Ёнд.
COMB_CANT_MATCH_GRADE	ббён«г »Џгбн… дёб «бЏб«ж«  Џбм «бг” жм √д няжд г Ў«»ё« Ён «бЎ—Ёнд.
COMB_CANT_MATERIAL_ITEM	Џбм «бж‘«Ќ «б√’бн √д нЌ жн Џбм Џб«ж… Џбм «б√ёб.
COMB_COST	«б”Џ—: %s
COMB_IS_CONTINUE_PROCESS	еб  —џ» Ён «бг «»Џ…њ
