Vnum	LocalizedName
1107	 гЋ«б «бћбнѕ
1131	‘ўм «бћбнѕ гд «бћЌнг
1132	Ќж  «бћбнѕ гд «бћЌнг
1133	Ќ‘—… «бћбнѕ гд «бћЌнг
1134	√”ѕ «бћбнѕ гд «бћЌнг
1135	—ћб «бћбнѕ гд «бћЌнг
1136	«б—ћб «бЋбћн гд «бћЌнг
1137	 гЋ«б «бћбнѕ гд «бћЌнг
1151	‘нЎ«д «бћбнѕ
1152	Ќж  ћбнѕн ё« б
1153	Ќ‘—… «бћбнѕ
1154	”жб џж
1155	—ћб «бћбнѕ
1156	Џгб«ё «бћбнѕ
1157	 гЋ«б «бћбнѕ
1171	«бћбнѕ «бќ»нЋ «бг”Ќж—
1172	Ќж  ћбнѕн ё« б ќ»нЋ
1173	Ќ‘—… «бћбнѕ «бќ»нЋ…
1174	√”ѕ «бћбнѕ «бќ»нЋ
1175	—ћб «бћбнѕ «бќ»нЋ
1176	н н «бќ»нЋ
1177	 гЋ«б «бћбнѕ «бќ»нЋ
1191	”«Ќ—…  «бћбнѕ
1192	”«Ќ—… ћбнѕ я»н—…
1301	ћдѕн ÷ЁѕЏ «б‘ћ—…
1302	ё«∆ѕ ÷ЁѕЏ «б‘ћ—…
1303	»Џ»Џ
1304	‘»Ќ «бдг— «б√’Ё—
1305	ћд—«б ÷ЁѕЏ «бЋж—
1306	‘»Ќ дг— √’Ё— ќ»нЋ
1307	‘»Ќ дг— √’Ё— ќ»нЋ
1308	‘»Ќ дг— √’Ё— ќ»нЋ
1309	‘»Ќ дг— √’Ё— ќ»нЋ
1310	‘»Ќ дг— √’Ё— ќ»нЋ
1331	ћдѕн ÷ЁѕЏ «б‘ћ—… «бя»н—
1332	ё«∆ѕ ÷ЁѕЏ «б‘ћ—… «бя»н—
1333	»Џ»Џ я»н—
1334	‘»Ќ «бдг— «б√’Ё— «бя»н—
1335	ћд—«б ÷ЁѕЏ «бЋж— «бя»н—
1401	гѕг—
1402	гЌ«—» Ё√”
1403	√бЁ гЌ«—»
1501	 гЋ«б Ќћ—
1502	¬яб «бЌћ—
1503	 гЋ«б Ќћ—н я»н—
1601	гЌ«—» —ен»
1602	ћ“«— —ен»
1603	гё« б —ен»
1901	–ж «б ”Џ… –нжб
1902	–ж «б ”Џ… –нжб «бдќ»…
1903	–ж «б ”Џ… –нжб «бдќ»…
1904	–ж «б ”Џ… –нжб «бдќ»…
1905	–ж «б ”Џ… –нжб «бдќ»…
1906	–ж «б ”Џ… –нжб «бдќ»…
2001	Џдя»ж  —÷нЏ
2002	Џдя»ж  ”«г
2003	Џдя»ж  √Ќг— ”«г
2004	Џдя»ж  –ж гќ«б»
2005	ћдѕн Џдя»ж 
2031	Џдя»ж  —÷нЏ ”«г
2032	Џдя»ж  ”«г ё« б
2033	Џдя»ж  √Ќг— ”«г ё« б
2034	Џдя»ж  ”«г –ж гќ«б»
2035	ћдѕн ”«г Џдя»ж н
2036	ћдѕн Џдя»ж  ”«г Ёќж—
2051	Џдя»ж  —÷нЏ ”«г ќ»нЋ
2052	Џдя»ж  ”«г ё« б ќ»нЋ
2053	Џдя»ж  ”«г √Ќг— ќ»нЋ
2054	Џдя»ж  ”«г –ж гќ«б» ќ»нЋ
2055	ћдѕн Џдя»ж  ”«г ќ»нЋ
2061	Џдя»ж  ”«г ’џн—
2062	Џдя»ж  ”«г ё« б
2063	Џдя»ж  ”«г ё« б √Ќг—
2064	Џдя»ж  ”«г –ж гќ«б»
2065	ћджѕ «бЏд«я» «б”«г…
2071	Џдя»ж  —÷нЏ ”«г жЌ‘н
2072	Џдя»ж  ”«г ё« б жЌ‘н
2073	Џдя»ж  √Ќг— ”«г ё« б
2074	Џдя»ж  ”«г –ж гќб» жЌ‘н
2075	ћдѕн Џдя»ж  жЌ‘н
2076	Џдя»ж  ”«г жЌ‘н ёжн
2091	«бгбя… «бЏдя»ж 
2092	»«—жд… «бЏд«я»
2093	«бЏдя»ж … «бгбя… «б‘—н—…
2094	»«—жд «бЏд«я»
2095	»н÷… «бЏдя»ж 
2101	ЋЏб» «б’Ќ—«Ѕ
2102	Џнд Ў«∆—… ’Ќ—«жн…
2103	«бЏё—» «бгбя
2104	«б—ћб «бЏё—» «б‘«»
2105	—«гн ”е«г Џё—»н
2106	гЌ«—» «б”нЁ «бЋЏ»«дн
2107	—«гн ”е«г ЋЏ»«дн
2108	ё«ЎЏ Ў—ё ’Ќ—«жн
2131	«б—ћб «бЏё—» «бжЌ‘н
2132	—«гн «б”е«г «бЏё—»н…
2133	гЌ«—» «б”нЁ «бЋЏ»«дн
2134	—«гн ”е«г ЋЏ»«дн
2135	ё«ЎЏ Ў—ё ’Ќ—«жн
2151	ЋЏб» «б’Ќ—«Ѕ «бёжн
2152	ѕ—жн‘ ёжн
2153	«бЏё—» «бгбя «бёжн
2154	«б—ћб «бЏё—» «бёжн
2155	«бЏё—» «б—гш«Ќ «бёжн
2156	гЌ«—» √Ё«Џн ёжн
2157	—«гн ”е«г ЋЏ»«дн ёжн
2158	ё«ЎЏ Ў—ё ’Ќ—«жн ёжн
2191	”бЌЁ«… ’Ќ—«Ѕ я»н—…
2192	”бЌЁ«… ’Ќ—«Ѕ ўб«гн…
2201	дг— ќ«ѕг гё« б
2202	‘»Ќ «бд«—
2203	дг— гё« б
2204	д«—
2205	гЌ«—» д«—н
2206	гбя «бдш«—
2207	гбя «бдш«— «б‘—н—
2231	дг— ќ«ѕг гё« б ёжн
2232	‘»Ќ «бд«— «бёжн
2233	дг— гё« б ёжн
2234	д«— ёжнш…
2235	гЌ«—» д«—н ёжн
2291	 днд √Ќг—
2301	‘ћ—… √‘»«Ќ
2302	ћ–Џ ‘ћ—… √‘»«Ќ
2303	ѕ—н«ѕ
2304	г—ћ «б√‘»«Ќ
2305	‘ћ—… ќ»нЋ…
2306	‘ћ—… √‘»«Ќ ёѕнг…
2307	”нѕ ‘ћ—… «б√‘»«Ќ
2311	‘ћ—… √‘»«Ќ Ќг—«Ѕ
2312	ћ–Џ ‘ћ—… √‘»«Ќ Ќг—«Ѕ
2313	ѕ—н«ѕ Ќг—«Ѕ
2314	г—ћ «б√‘»«Ќ «б√Ќг—
2315	‘ћ—… Ќг—«Ѕ ќ»нЋ…
2401	гЌ«—» ”н «ж
2402	’нш«ѕ ”н «ж
2403	Џ—ш«Ё… ”н «ж
2404	ё«∆ѕ ”н «ж
2411	ћдѕн ”н «ж
2412	—«гн «б”е«г-”н «ж
2413	«бё«∆ѕ… ”н «ж
2414	ё«∆ѕ √Џбм-”н «ж
2415	ё«∆ѕ √Џбм-”н «ж
2431	√µј«Їіїз
2432	√µј«±√Їі
2433	√µј«єэїз
2434	√µј«јеЉц
2451	Ѕш√µј«Їіїз
2452	Ѕш√µј«±√Їі
2453	Ѕш√µј«єэїз
2454	Ѕш√µј«јеЉц
2491	«б“Џнг нждџ«д
2492	«бћд—«б нждџ«д
2493	»н—«д-”н «ж
2494	«б“Џнг еж«‘нд
2495	«бћд—«б еж«‘нд
2501	ёдѕнб »Ќ— «бћЌнг
2502	яб» «бћЌнг
2503	“жг»н
2504	÷«»Ў «бћЌнг
2505	Ќ«—” «бћЌнг
2506	ёд«’ «бћЌнг-–ж «б—√”нд
2507	ё«»÷ «бћЌнг
2508	гЌ«—» «бћЌнг
2509	ёд«’ «бћЌнг
2510	—«гн —г«Ќ «бћЌнг
2511	я«ед «бћЌнг
2512	—«∆ѕ «бћЌнг
2513	”Ёш«я «бћЌнг
2514	ћд—«б «бћЌнг
2541	гЌ«—» «бћЌнг «б‘—н—
2542	ёд«’ «бћЌнг «б‘—н—
2543	—«гн —г«Ќ «бћЌнг «б‘—н—
2544	я«ед «бћЌнг «б‘—н—
2545	—«∆ѕ «бћЌнг «б‘—н—
2546	”Ёш«я «бћЌнг «б‘—н—
2547	ћд—«б «бћЌнг «б‘—н—
2591	 «—Ћ«—ж”
2592	жёЌ «бћЌнг
2593	жёЌ «бћЌнг
2594	жёЌ «бћЌнг
2595	≈н—н»ж”
2596	Ё—ќ Ё—Џ«∆нб
2597	‘—нжд
2598	Ё—Џ«∆нб
2600	–∆» “жѕн«я
2601	–∆» “жѕн«я «б√“—ё
2602	бняж” “жѕн«я
2603	—«гн “жѕн«я
2604	ќд“н— “жѕн«я «б»—н
2605	ќд“н— “жѕн«я »—н √Ќг—
2606	”я—жЁ« “жѕн«я
2607	гн-ћждџ “жѕн«я
2608	»—« “жѕн«я
2609	ѕ» “жѕн«я
2610	ѕ» “жѕн«я «б√‘н»
2611	ѕ» “жѕн«я «б»дн
2612	«жд-ћждџ “жѕн«я
2613	 нџ—” “жѕн«я
2614	дг— “жѕн«я
2615	дг— “жѕн«я «б√»н÷
2616	”н-—«дџ “жѕн«я
2617	ћд-ен “жѕн«я
2618	Џдя»ж  “жѕн«я «б—÷нЏ
2619	Џдя»ж  “жѕн«я «б”«г
2620	Џдя»ж  “жѕн«я ”«г √Ќг—
2621	Џдя»ж  “жѕн«я –ж гќб»
2622	ћдѕн Џдя»ж  “жѕн«я
2623	‘»Ќ “жѕн«я «бд«—н
2624	дг— “жѕн«я «бгё« б
2625	д«— “жѕн«я
2626	гЌ«—» “жѕн«я «бд«—н
2627	гбя «бдш«— “жѕн«я
2628	гбя «бдш«— ўб«гн “жѕн«я
2629	ћдѕн г жЌ‘ “жѕн«я
2630	гЎнЏ г жЌ‘ “жѕн«я
2631	—. ”е«г г жЌ‘ “жѕн«я
2632	ё«∆ѕ “жѕн«я жЌ‘н
2633	“Џнг “жѕн«я жЌ‘н
2634	ћбнѕ “жѕн«я г”Ќж—
2635	Ќж  ћбнѕн ё« б “жѕн«я
2636	Ќ‘—… «бћбнѕ “жѕн«я
2637	√”ѕ «бћбнѕ “жѕн«я
2638	—ћб «бЋбћ “жѕн«я
2639	н н “жѕн«я
2640	 гЋ«б «бћбнѕ “жѕн«я
2641	ЋЏб» «б’Ќ—«Ѕ “жѕн«я
2642	«бЏё—» «бгбя “жѕн«я
2643	гЌ«—» √Ё«Џн “жѕн«я
2644	—«гн ”е«г ЋЏ»«дн “жѕн«я
2645	ё«ЎЏ Ў—нё ’Ќ—«жн “жѕн«я
2646	ћдѕн «б—нЌ «б√”жѕ “жѕн«я
2647	гежж” —. √. “жѕн«я
2648	—«гн ”е«г —. √. “жѕн«я
2649	г«ежд “жѕн«я
2650	»ж “жѕн«я
2651	џж-»н “жѕн«я
2652	‘жждџ “жѕн«я
2653	—ћб Џё—»н г. “жѕн«я
2654	—«гн Џё—»н г. “жѕн«я
2655	ѕ—жн‘ “жѕн«я
2656	ћ. ÷ЁѕЏ «б‘ћ—… “жѕн«я
2657	ё. ÷ЁѕЏ «б‘ћ—… “жѕн«я
2658	»Џ»Џ “жѕн«я
2659	гѕг— “жѕн«я
2660	гЌ«—» Ё√” “жѕн«я
2661	√бЁ гЌ«—» “жѕн«я
2662	г Џ’» ўб«гн “жѕн«я
2663	¬—«е«д “жѕн«я
2664	гЌ«—» ‘—н— “жѕн«я
2665	ё«∆ѕ ¬—«е«д ‘—н— “жѕн«я
2666	ћб«ѕ ‘—н— “жѕн«я
2667	г÷Ўеѕ ‘—н— “жѕн«я
2668	г‘Џж– “жѕн«я
2669	џжб Ёќж— “жѕн«я
2670	ћ«”ж” џжб Ёќж— “жѕн«я
2671	гё« б џжб Ёќж— “жѕн«я
2672	”«Ќ— џжб Ёќж— “жѕн«я
2673	ё«∆ѕ џжб Ёќж— “жѕн«я
2674	џжб √”жѕ “жѕн«я
2675	џжб я»н— √”жѕ “жѕн«я
2676	гЌ«—» б’ √Ќг— “жѕн«я
2677	”Ё«Ќ б’ √Ќг— “жѕн«я
2678	”«Ќ— б’ √Ќг— “жѕн«я
2679	ћб«ѕ б’ √Ќг— “жѕн«я
2680	гё« б ”бЎЏжд “жѕн«я
2681	«б—«гн «бЏё—» “жѕн«я
2682	ћдѕн —ж»н«д “жѕн«я
2683	д«”я ‘нЎ«дн “жѕн«я
2684	”бЎЏжд гё—ёЏ “жѕн«я
2685	Џ÷ш«÷ Џгб«ё “жѕн«я
2686	ћ“«— Џгб«ё “жѕн«я
2687	”«Ќ— “жѕн«я
2688	Џгб«ён«д “жѕн«я
2689	ћб«ѕ “жѕн«я —ен»
2690	—«гн “жѕн«я —ен»
2691	џжб гЏ«—я “жѕн«я
2692	”«Ќ— “жѕн«я —ен»
2700	г” –∆»
2701	ћдѕн г” –∆»
2702	ё«∆ѕ г” –∆»
2703	”н—»н—ж”
2704	√ЁЏм ”н—»н—ж”
2705	 днд ”н—»н—ж”
2706	ёдЎж—
2707	гЌ«—» ёдЎж—
2708	ё«∆ѕ ёдЎж—
2709	гжбжќ
2710	гЌ«—» гжбжќ
2711	ё«∆ѕ гжбжќ
2712	ћд«Ќ «бгж 
2713	ћд«Ќ «бгж  «бг—н÷
2714	ћд«Ќ «бгж  «бя”жб
2715	“Ён—
2716	гЌ«—» “Ён—
2717	ё«∆ѕ “Ён—
2718	√ж—жя
2719	гЌ«—» √ж—жя
2720	ё«∆ѕ √ж—жя
2721	я«—днЁ«д 
2722	гЌ«—» я«—днЁ«д 
2723	ё«∆ѕ я«—днЁ«д 
2724	≈”»—Ўн
2725	ћдѕн ≈”»—Ўн
2726	ё«∆ѕ ≈”»—Ўн
2727	г’«—Џ «бЏў«г
2728	ћдѕн г’«—Џ «бЏў«г
2729	ё«∆ѕ г’«—Џ «бЏў«г
2730	—«гн ”е«г «бћЏ—«д
2731	ћЏ—«д Џгб«ё
2732	ћЏ—«д Џ–—«Ѕ
2733	—«гн ”е«г Ќѕнѕн
2734	гЌ«—» Ќѕнѕн
2735	ё«∆ѕ Ќѕнѕн
2736	б«ћнЅ
2737	Damage_Trap
2750	÷«»Ў  ”н
2751	Ќ«—”  ”н
2752	ё«∆ѕ  ”н
2760	÷«»Ў  ‘«ж
2761	Ќ«—”  ‘«ж
2762	ё«∆ѕ  ‘«ж
2770	÷«»Ў ннд
2771	Ќ«—” ннд
2772	ё«∆ѕ ннд
2780	÷«»Ў г«ж
2781	Ќ«—” г«ж
2782	ё«∆ѕ г«ж
2790	÷«»Ў  ‘д
2791	Ќ«—”  ‘д
2792	ё«∆ѕ  ‘д
2800	÷«»Ў ”н
2801	Ќ«—” ”н
2802	ё«∆ѕ ”н
2810	÷«»Ў жж
2811	Ќ«—” жж
2812	ё«∆ѕ жж
2820	÷«»Ў жн
2821	Ќ«—” жн
2822	ё«∆ѕ жн
2830	÷«»Ў ‘нд
2831	Ќ«—” ‘нд
2832	ё«∆ѕ ‘нд
2840	÷«»Ў нж
2841	Ќ«—” нж
2842	ё«∆ѕ нж
2850	÷«»Ў “ж
2851	Ќ«—” “ж
2852	ё«∆ѕ “ж
2860	÷«»Ў е«н
2861	Ќ«—” е«н
2862	ё«∆ѕ е«н
2900	г« нд «бЁ√—
2901	г« нд «бЋж—
2902	г« нд «бдг—
2903	г« нд «б днд
2904	г« нд «бЋЏ»«д
2905	г« нд «бЌ’«д
2906	г« нд «бг«Џ“
2907	г« нд «бё—ѕ
2908	г« нд «бяб»
3001	гё« б «бџдн“
3002	—«гн «бџдн“
3003	гѕ«ЁЏ «бџдн“
3004	”«Ќ— «бџдн“
3005	ћд—«б «бџдн“
3090	бж—ѕ «бџдн“
3091	Ќ«—” «бџдн“ «б”«гн
3101	÷«—» √Џж—
3102	ћдѕн «б”нябж»д
3103	”«Ќ— «б”нябж»д
3104	ћб«шѕ «б”нябж»д
3105	«бћд—«б √ж н”
3190	√—ћн”
3191	»шжбнЁнгж”
3201	гЌ«—» «бгд нёж—
3202	ћдѕн «бгд нёж—
3203	”«Ќ— «бгд нёж—
3204	ћб«ѕ «бгд нёж—
3205	«бЌд—«б ёж—
3290	—«я‘«”«
3291	г«— н«я”ж«—
3301	гё« б «ббнгж—д
3302	ћдѕн «ббнгж—д
3303	”«Ќ— «ббнгж—д
3304	ћб«ѕ «ббнгж—д
3305	ћд—«б «ббнгж—д
3390	√гн— «ббнгж—д
3391	«бЌ—” «б‘ќ’н «ббнгж—н
3401	гж—«н  —н ждн…
3402	«бћдѕн «бё—‘
3403	”«Ќ—  —н ждн
3404	’н«ѕ  —н ждн
3405	”нш«Ё  н —ждн
3490	«бћд—«б я«»ш«
3491	 —н жд
3501	гЌ«—»… «бб’ «б√Ќг—
3502	”Ё«Ќ «бб’ «б√Ќг—
3503	”«Ќ— «бб’ «б√Ќг—
3504	ћб«ѕ «бб’ «б√Ќг—
3505	«бћд—«б «б√”жѕ
3551	гЌ«—»… б’ √Ќг— ѕгжн…
3552	”Ё«Ќ б’ √Ќг— ѕгжн
3553	”«Ќ— б’ √Ќг— ѕгжн
3554	ћб«ѕ б’ √Ќг— ѕгжн
3555	«бћд—«б «б√»н÷
3590	жће Џўгн
3591	«б“Џнг «б√Ќг—
3595	жће Џўгн ѕгжн
3596	“Џнг √Ќг— ѕгжн
3601	гЌ«—» «б”бЎЏжд
3602	«б—«гн «бЏё—»
3603	ћдѕн «б—шж»н«д
3604	д«”я ‘нЎ«дн
3605	”бЎЏжд гёжёЏ
3690	«бћд—«б яу—яудѕ
3691	гбя «б”б«ЎнЏ
3701	Џ÷ш«÷ Џгб«ё
3702	”Ёш«Ќ Џгб«ё
3703	”«Ќ— Џгб«ё
3704	Џгб«ён«д
3705	«бя«» д ќхЎ«Ё
3790	џ—џ«гнб
3791	«бгбя жж»ш«
3801	џжћб«шѕ
3802	џжб —«гн
3803	џжб гхЏ«—я
3804	џжб ”«Ќ— —ен»
3805	«бћд—«б џжб«д
3890	«бя«» д ‘—жя
3891	«бџжб «бя»н—
3901	«б—ћб «б’Ё’«Ё
3902	«бг«—ѕ
3903	”яжг«д
3904	«бя«» д ќхЎ«Ё
3905	гж-‘ж
3906	н«е-ян
3907	гжџж
3908	я«—днЁя”
3909	«бћд—«б √б»ж”
3910	Џў«гн
3911	»«яжгж—
3912	‘ћя«гж—
3913	‘—я«гж—
3949	»жш«»…: «бё«—… «бћѕнѕ…
3950	я«»«
3951	я«»« «б»Ќн—…
3952	я«»« «бгн«е «бЏгнё…
3953	“Џнг я«»«
3954	ћдѕн гж—«н
3955	гж—«н «бгн«е «бЏгнё…
3956	гбя… «б’Ё«—« 
3957	Ё—ќ енѕ—«
3958	Ё—ќ енѕ—«
3959	Ё—ќ енѕ—«
3960	енѕ—«
3961	енѕ—«
3962	енѕ—«
3963	енѕ—«
3964	енѕ—«
3965	яд“ енѕ—«
3970	
3980	Џд’— «бд«—
3981	Џд’— «бћбнѕ
3982	Џд’— «б»—ё
3983	Џд’— «б—н«Ќ
3984	Џд’— «б√—÷
3985	Џд’— «бўб«г
3986	‘»Ќ «бд«—
3987	‘»Ќ «бћбнѕ
3988	‘»Ќ «б»—ё
3989	‘»Ќ «б—н«Ќ
3990	‘»Ќ «б√—÷
3991	‘»Ќ «бўб«г
3992	Ќ«яг «бд«—
3993	Ќ«яг «бћбнѕ
3994	Ќ«яг «б—Џѕ
3995	Ќ«яг «бЏ«’Ё…
